Country,Total Cases,New Cases,Total Deaths,New Deaths
North America,"128,176,011",0.0,"1,645,417",0.0
Asia,"220,733,449",67.0,"1,549,698",0.0
Europe,"249,987,374",58.0,"2,071,024",1.0
South America,"68,987,851",0.0,"1,360,616",0.0
Oceania,"14,644,324",0.0,"30,358",0.0
Africa,"12,837,874",0.0,"258,830",0.0
Antarctica,721,0.0,15,0.0
USA,"108,429,339",0.0,"1,175,172",0.0
India,"44,998,162",0.0,"531,930",0.0
France,"40,138,560",0.0,"167,642",0.0
Germany,"38,428,685",0.0,"174,352",0.0
Brazil,"37,789,040",0.0,"705,313",0.0
S. Korea,"34,571,873",0.0,"35,934",0.0
Japan,"33,803,572",0.0,"74,694",0.0
Italy,"26,007,789",0.0,"191,469",0.0
UK,"24,688,073",0.0,"228,924",0.0
Russia,"23,003,453",0.0,"400,009",0.0
Turkey,"17,232,066",0.0,"102,174",0.0
Spain,"13,914,811",0.0,"121,760",0.0
Australia,"11,764,239",0.0,"22,727",0.0
Vietnam,"11,623,420",27.0,"43,206",0.0
Taiwan,"10,241,520",0.0,"19,005",0.0
Argentina,"10,070,247",0.0,"130,608",0.0
Netherlands,"8,617,412",0.0,"22,992",0.0
Mexico,"7,649,199",0.0,"334,472",0.0
Iran,"7,615,822",0.0,"146,364",0.0
Indonesia,"6,813,378",0.0,"161,918",0.0
Poland,"6,520,651",15.0,"119,644",0.0
Colombia,"6,378,000",0.0,"142,961",0.0
Greece,"6,101,379",0.0,"37,089",0.0
Austria,"6,081,287",0.0,"22,542",0.0
Portugal,"5,610,180",0.0,"27,247",0.0
Ukraine,"5,557,995",0.0,"112,418",0.0
Chile,"5,292,252",0.0,"64,497",0.0
Malaysia,"5,124,481",0.0,"37,167",0.0
Israel,"4,835,954",0.0,"12,651",0.0
Belgium,"4,812,396",0.0,"34,376",0.0
DPRK,"4,772,813",0.0,74,0.0
Thailand,"4,756,837",0.0,"34,468",0.0
Canada,"4,716,000",0.0,"53,541",0.0
Czechia,"4,647,142",28.0,"42,831",1.0
Peru,"4,519,976",0.0,"222,161",0.0
Switzerland,"4,410,460",0.0,"14,452",0.0
Philippines,"4,174,101",0.0,"66,643",0.0
South Africa,"4,076,463",0.0,"102,595",0.0
Romania,"3,429,120",0.0,"68,296",0.0
Denmark,"3,183,756",0.0,"8,814",0.0
Hong Kong,"2,919,340",0.0,"14,234",0.0
Sweden,"2,716,246",0.0,"24,821",0.0
Singapore,"2,560,028",0.0,"1,875",0.0
Serbia,"2,549,375",0.0,"18,057",0.0
Iraq,"2,465,545",0.0,"25,375",0.0
New Zealand,"2,461,379",0.0,"4,775",0.0
Hungary,"2,204,090",0.0,"48,881",0.0
Bangladesh,"2,045,517",0.0,"29,477",0.0
Slovakia,"1,867,323",0.0,"21,167",0.0
Georgia,"1,855,289",0.0,"17,132",0.0
Jordan,"1,746,997",0.0,"14,122",0.0
Ireland,"1,719,064",0.0,"9,200",0.0
Pakistan,"1,581,770",0.0,"30,664",0.0
Norway,"1,487,845",0.0,"5,641",0.0
Finland,"1,485,088",0.0,"10,201",0.0
Kazakhstan,"1,411,831",0.0,"13,848",0.0
Slovenia,"1,344,783",15.0,"7,100",0.0
Lithuania,"1,325,660",0.0,"9,704",0.0
Bulgaria,"1,311,976",0.0,"38,458",0.0
Guatemala,"1,277,031",0.0,"20,257",0.0
Morocco,"1,276,176",0.0,"16,297",0.0
Croatia,"1,274,834",0.0,"18,318",0.0
Lebanon,"1,239,904",0.0,"10,947",0.0
Costa Rica,"1,238,883",0.0,"9,428",0.0
Bolivia,"1,207,206",0.0,"22,399",0.0
Tunisia,"1,153,361",0.0,"29,423",0.0
Cuba,"1,115,125",0.0,"8,530",0.0
Ecuador,"1,069,114",0.0,"36,042",0.0
UAE,"1,067,030",0.0,"2,349",0.0
Panama,"1,048,242",0.0,"8,660",0.0
Uruguay,"1,038,774",0.0,"7,634",0.0
Mongolia,"1,010,975",0.0,"2,179",0.0
Nepal,"1,003,434",0.0,"12,031",0.0
Belarus,"994,037",0.0,"7,118",0.0
Latvia,"978,499",0.0,"6,392",0.0
Saudi Arabia,"841,469",0.0,"9,646",0.0
Azerbaijan,"832,438",0.0,"10,302",0.0
Paraguay,"814,603",0.0,"20,018",0.0
Bahrain,"727,660",0.0,"1,573",0.0
Sri Lanka,"672,583",0.0,"16,882",0.0
Dominican Republic,"667,048",0.0,"4,384",0.0
Kuwait,"666,206",0.0,"2,570",0.0
Cyprus,"660,854",0.0,"1,364",0.0
Myanmar,"641,225",1.0,"19,495",0.0
Moldova,"621,441",0.0,"12,126",0.0
Palestine,"621,008",0.0,"5,404",0.0
Estonia,"619,690",0.0,"3,001",0.0
Venezuela,"552,695",0.0,"5,856",0.0
Egypt,"516,023",0.0,"24,613",0.0
Qatar,"514,524",0.0,690,0.0
Libya,"507,270",0.0,"6,437",0.0
Ethiopia,"501,032",0.0,"7,574",0.0
Réunion,"486,588",0.0,921,0.0
Honduras,"474,078",0.0,"11,165",0.0
Armenia,"449,357",0.0,"8,751",0.0
Bosnia and Herzegovina,"403,091",0.0,"16,352",0.0
Oman,"399,449",0.0,"4,628",0.0
Zambia,"349,287",0.0,"4,069",0.0
North Macedonia,"348,411",0.0,"9,941",0.0
Kenya,"343,955",0.0,"5,689",0.0
Albania,"334,726",0.0,"3,602",0.0
Botswana,"330,256",0.0,"2,801",0.0
Luxembourg,"319,959",0.0,"1,232",0.0
Brunei,"310,522",0.0,225,0.0
